state,frac,seq,AA,AS,B6,DL,EV,F9,HA,NK,OO,UA,VX,WN
CO,100,4,900,,,900,,2300,,700,7000,5900,,4600
CO,100,5,900,,,900,,2700,,200,6700,5700,,5200
CO,100,6,800,,,800,,2800,,400,6900,5400,,5200
CO,100,7,800,,,700,,2300,,700,6600,4800,,6400
CO,100,8,1000,,,600,,2400,,500,7800,4600,,5400
CO,100,9,1600,,,1000,,1400,,200,7000,5100,,6000
CO,100,10,900,,,900,,2400,,300,6800,5800,,5200
CO,100,11,1100,,,600,,2000,,200,6300,6200,,5900
CO,100,12,1500,,,900,,1600,,600,6900,4800,,6000
CO,100,13,1800,,,1100,,1800,,500,5700,5000,,6400
CO,100,14,1000,,,1000,,1700,,400,6800,6100,,5300
CO,100,15,900,,,500,,2800,,400,6700,5700,,5300
CO,100,16,1200,,,1000,,2200,,300,6100,5100,,6400
CO,100,17,1200,,,900,,1500,,300,7100,4300,,7000
CO,100,18,1500,,,800,,2300,,200,6900,5200,,5400
CO,100,19,800,,,500,,2200,,900,6200,4400,,7300
CO,100,20,700,,,400,,2700,,400,6900,5700,,5500
CO,200,1,1400,,,1200,,2200,,800,6600,3800,,6400
